Tournament,Stage,Match Type,Match Name,Map,Round Number,Eliminator Team,Eliminator,Eliminator Agent,Eliminated Team,Eliminated,Eliminated Agent,Kill Type
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,FNATIC vs Team Heretics,Icebox,9,FNATIC,Chronicle,gekko,Team Heretics,benjyfishy,killjoy,2k
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,FNATIC vs Team Heretics,Icebox,17,FNATIC,Chronicle,gekko,Team Heretics,Boo,viper,2k
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,FNATIC vs Team Heretics,Icebox,17,FNATIC,Chronicle,gekko,Team Heretics,Wo0t,gekko,2k
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,FNATIC vs Team Heretics,Icebox,2,FNATIC,kaajak,sage,Team Heretics,MiniBoo,neon,2k
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,FNATIC vs Team Heretics,Icebox,2,FNATIC,kaajak,sage,Team Heretics,Boo,viper,2k
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,FNATIC vs Team Heretics,Icebox,9,FNATIC,kaajak,sage,Team Heretics,MiniBoo,neon,2k
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,FNATIC vs Team Heretics,Icebox,9,FNATIC,kaajak,sage,Team Heretics,Wo0t,gekko,2k
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,FNATIC vs Team Heretics,Icebox,14,FNATIC,kaajak,sage,Team Heretics,benjyfishy,killjoy,2k
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,FNATIC vs Team Heretics,Icebox,14,FNATIC,kaajak,sage,Team Heretics,RieNs,sova,2k
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,FNATIC vs Team Heretics,Icebox,7,FNATIC,kaajak,sage,Team Heretics,MiniBoo,neon,3k
