Tournament,Stage,Match Type,Match Name,Map,Round Number,Eliminator Team,Eliminator,Eliminator Agent,Eliminated Team,Eliminated,Eliminated Agent,Kill Type
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,FNATIC vs Team Heretics,Icebox,7,FNATIC,kaajak,sage,Team Heretics,benjyfishy,killjoy,3k
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,FNATIC vs Team Heretics,Icebox,7,FNATIC,kaajak,sage,Team Heretics,Boo,viper,3k
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,FNATIC vs Team Heretics,Icebox,6,FNATIC,Alfajer,killjoy,Team Heretics,benjyfishy,killjoy,2k
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,FNATIC vs Team Heretics,Icebox,6,FNATIC,Alfajer,killjoy,Team Heretics,Boo,viper,2k
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,FNATIC vs Team Heretics,Icebox,8,FNATIC,Alfajer,killjoy,Team Heretics,Wo0t,gekko,2k
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,FNATIC vs Team Heretics,Icebox,8,FNATIC,Alfajer,killjoy,Team Heretics,Boo,viper,2k
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,FNATIC vs Team Heretics,Icebox,21,FNATIC,Alfajer,killjoy,Team Heretics,RieNs,sova,2k
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,FNATIC vs Team Heretics,Icebox,21,FNATIC,Alfajer,killjoy,Team Heretics,Wo0t,gekko,2k
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,FNATIC vs Team Heretics,Icebox,12,FNATIC,Alfajer,killjoy,Team Heretics,RieNs,sova,3k
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,FNATIC vs Team Heretics,Icebox,12,FNATIC,Alfajer,killjoy,Team Heretics,Wo0t,gekko,3k
