Tournament,Stage,Match Type,Match Name,Map,Round Number,Team,Method,Outcome
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,Ascent,18,FNATIC,Failed Defused,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,Ascent,19,DRX,Detonated,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,Ascent,19,FNATIC,Failed Defused,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,Ascent,20,DRX,Elimination,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,Ascent,20,FNATIC,Eliminated,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,Ascent,21,DRX,Elimination,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,Ascent,21,FNATIC,Eliminated,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,Lotus,1,DRX,Elimination,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,Lotus,1,FNATIC,Eliminated,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,Lotus,2,DRX,Elimination,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,Lotus,2,FNATIC,Eliminated,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,Lotus,3,FNATIC,Elimination,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,Lotus,3,DRX,Eliminated,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,Lotus,4,FNATIC,Detonated,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,Lotus,4,DRX,Failed Defused,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,Lotus,5,FNATIC,Detonated,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,Lotus,5,DRX,Failed Defused,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,Lotus,6,FNATIC,Elimination,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,Lotus,6,DRX,Eliminated,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,Lotus,7,FNATIC,Elimination,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,Lotus,7,DRX,Eliminated,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,Lotus,8,FNATIC,Detonated,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,Lotus,8,DRX,Failed Defused,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,Lotus,9,DRX,Elimination,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,Lotus,9,FNATIC,Eliminated,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,Lotus,10,DRX,Defused,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,Lotus,10,FNATIC,Detonated Denied,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,Lotus,11,FNATIC,Elimination,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,Lotus,11,DRX,Eliminated,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,Lotus,12,FNATIC,Elimination,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,Lotus,12,DRX,Eliminated,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,Lotus,13,FNATIC,Defused,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,Lotus,13,DRX,Detonated Denied,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,Lotus,14,FNATIC,Elimination,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,Lotus,14,DRX,Eliminated,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,Lotus,15,FNATIC,Defused,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,Lotus,15,DRX,Detonated Denied,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,Lotus,16,FNATIC,Elimination,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,Lotus,16,DRX,Eliminated,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,Lotus,17,DRX,Elimination,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,Lotus,17,FNATIC,Eliminated,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,Lotus,18,FNATIC,Defused,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,Lotus,18,DRX,Detonated Denied,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Corrode,1,MIBR,Elimination,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Corrode,1,Team Heretics,Eliminated,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Corrode,2,MIBR,Detonated,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Corrode,2,Team Heretics,Failed Defused,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Corrode,3,Team Heretics,Elimination,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Corrode,3,MIBR,Eliminated,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Corrode,4,MIBR,Detonated,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Corrode,4,Team Heretics,Failed Defused,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Corrode,5,MIBR,Elimination,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Corrode,5,Team Heretics,Eliminated,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Corrode,6,MIBR,Elimination,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Corrode,6,Team Heretics,Eliminated,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Corrode,7,Team Heretics,Defused,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Corrode,7,MIBR,Detonated Denied,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Corrode,8,MIBR,Detonated,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Corrode,8,Team Heretics,Failed Defused,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Corrode,9,Team Heretics,Elimination,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Corrode,9,MIBR,Eliminated,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Corrode,10,MIBR,Elimination,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Corrode,10,Team Heretics,Eliminated,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Corrode,11,MIBR,Elimination,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Corrode,11,Team Heretics,Eliminated,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Corrode,12,Team Heretics,Defused,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Corrode,12,MIBR,Detonated Denied,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Corrode,13,Team Heretics,Detonated,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Corrode,13,MIBR,Failed Defused,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Corrode,14,Team Heretics,Detonated,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Corrode,14,MIBR,Failed Defused,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Corrode,15,Team Heretics,Detonated,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Corrode,15,MIBR,Failed Defused,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Corrode,16,MIBR,Defused,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Corrode,16,Team Heretics,Detonated Denied,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Corrode,17,Team Heretics,Detonated,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Corrode,17,MIBR,Failed Defused,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Corrode,18,Team Heretics,Elimination,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Corrode,18,MIBR,Eliminated,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Corrode,19,Team Heretics,Detonated,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Corrode,19,MIBR,Failed Defused,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Corrode,20,MIBR,Defused,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Corrode,20,Team Heretics,Detonated Denied,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Corrode,21,MIBR,Defused,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Corrode,21,Team Heretics,Detonated Denied,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Corrode,22,MIBR,Elimination,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Corrode,22,Team Heretics,Eliminated,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Corrode,23,Team Heretics,Elimination,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Corrode,23,MIBR,Eliminated,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Corrode,24,Team Heretics,Elimination,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Corrode,24,MIBR,Eliminated,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Corrode,25,MIBR,Elimination,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Corrode,25,Team Heretics,Eliminated,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Corrode,26,MIBR,Elimination,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Corrode,26,Team Heretics,Eliminated,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Sunset,1,MIBR,Defused,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Sunset,1,Team Heretics,Detonated Denied,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Sunset,2,MIBR,Elimination,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Sunset,2,Team Heretics,Eliminated,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Sunset,3,MIBR,Defused,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Sunset,3,Team Heretics,Detonated Denied,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Sunset,4,Team Heretics,Elimination,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Sunset,4,MIBR,Eliminated,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Sunset,5,MIBR,Elimination,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Sunset,5,Team Heretics,Eliminated,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Sunset,6,MIBR,Defused,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Sunset,6,Team Heretics,Detonated Denied,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Sunset,7,Team Heretics,Detonated,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Sunset,7,MIBR,Failed Defused,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Sunset,8,Team Heretics,Detonated,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Sunset,8,MIBR,Failed Defused,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Sunset,9,MIBR,Elimination,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Sunset,9,Team Heretics,Eliminated,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Sunset,10,MIBR,Elimination,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Sunset,10,Team Heretics,Eliminated,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Sunset,11,MIBR,Elimination,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Sunset,11,Team Heretics,Eliminated,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Sunset,12,MIBR,Elimination,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Sunset,12,Team Heretics,Eliminated,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Sunset,13,Team Heretics,Defused,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Sunset,13,MIBR,Detonated Denied,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Sunset,14,Team Heretics,Defused,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Sunset,14,MIBR,Detonated Denied,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Sunset,15,MIBR,Elimination,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Sunset,15,Team Heretics,Eliminated,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Sunset,16,Team Heretics,Defused,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Sunset,16,MIBR,Detonated Denied,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Sunset,17,MIBR,Elimination,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Sunset,17,Team Heretics,Eliminated,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Sunset,18,MIBR,Elimination,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Sunset,18,Team Heretics,Eliminated,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Sunset,19,MIBR,Elimination,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Sunset,19,Team Heretics,Eliminated,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Haven,1,Mega Minors,Elimination,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Haven,1,GIANTX,Eliminated,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Haven,2,Mega Minors,Detonated,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Haven,2,GIANTX,Failed Defused,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Haven,3,GIANTX,Defused,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Haven,3,Mega Minors,Detonated Denied,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Haven,4,Mega Minors,Detonated,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Haven,4,GIANTX,Failed Defused,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Haven,5,Mega Minors,Elimination,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Haven,5,GIANTX,Eliminated,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Haven,6,Mega Minors,Elimination,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Haven,6,GIANTX,Eliminated,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Haven,7,Mega Minors,Elimination,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Haven,7,GIANTX,Eliminated,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Haven,8,Mega Minors,Elimination,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Haven,8,GIANTX,Eliminated,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Haven,9,Mega Minors,Elimination,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Haven,9,GIANTX,Eliminated,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Haven,10,Mega Minors,Elimination,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Haven,10,GIANTX,Eliminated,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Haven,11,Mega Minors,Detonated,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Haven,11,GIANTX,Failed Defused,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Haven,12,Mega Minors,Elimination,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Haven,12,GIANTX,Eliminated,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Haven,13,Mega Minors,Defused,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Haven,13,GIANTX,Detonated Denied,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Haven,14,Mega Minors,Elimination,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Haven,14,GIANTX,Eliminated,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Lotus,1,GIANTX,Elimination,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Lotus,1,Mega Minors,Eliminated,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Lotus,2,GIANTX,Elimination,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Lotus,2,Mega Minors,Eliminated,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Lotus,3,Mega Minors,Elimination,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Lotus,3,GIANTX,Eliminated,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Lotus,4,Mega Minors,Detonated,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Lotus,4,GIANTX,Failed Defused,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Lotus,5,Mega Minors,Detonated,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Lotus,5,GIANTX,Failed Defused,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Lotus,6,GIANTX,Defused,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Lotus,6,Mega Minors,Detonated Denied,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Lotus,7,Mega Minors,Detonated,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Lotus,7,GIANTX,Failed Defused,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Lotus,8,Mega Minors,Elimination,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Lotus,8,GIANTX,Eliminated,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Lotus,9,Mega Minors,Elimination,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Lotus,9,GIANTX,Eliminated,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Lotus,10,Mega Minors,Detonated,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Lotus,10,GIANTX,Failed Defused,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Lotus,11,Mega Minors,Elimination,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Lotus,11,GIANTX,Eliminated,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Lotus,12,Mega Minors,Elimination,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Lotus,12,GIANTX,Eliminated,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Lotus,13,GIANTX,Elimination,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Lotus,13,Mega Minors,Eliminated,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Lotus,14,Mega Minors,Defused,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Lotus,14,GIANTX,Detonated Denied,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Lotus,15,Mega Minors,Elimination,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Lotus,15,GIANTX,Eliminated,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Lotus,16,Mega Minors,Time Expiry (No Plant),Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Lotus,16,GIANTX,Time Expiry (Failed to Plant),Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Lotus,17,GIANTX,Elimination,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Lotus,17,Mega Minors,Eliminated,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Lotus,18,GIANTX,Elimination,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Lotus,18,Mega Minors,Eliminated,Loss
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Lotus,19,Mega Minors,Elimination,Win
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Lotus,19,GIANTX,Eliminated,Loss
Valorant Champions 2025,Playoffs,Lower Round 1,DRX vs G2 Esports,Lotus,1,DRX,Defused,Win
Valorant Champions 2025,Playoffs,Lower Round 1,DRX vs G2 Esports,Lotus,1,G2 Esports,Detonated Denied,Loss
Valorant Champions 2025,Playoffs,Lower Round 1,DRX vs G2 Esports,Lotus,2,G2 Esports,Elimination,Win
Valorant Champions 2025,Playoffs,Lower Round 1,DRX vs G2 Esports,Lotus,2,DRX,Eliminated,Loss
Valorant Champions 2025,Playoffs,Lower Round 1,DRX vs G2 Esports,Lotus,3,G2 Esports,Elimination,Win
Valorant Champions 2025,Playoffs,Lower Round 1,DRX vs G2 Esports,Lotus,3,DRX,Eliminated,Loss
Valorant Champions 2025,Playoffs,Lower Round 1,DRX vs G2 Esports,Lotus,4,DRX,Elimination,Win
Valorant Champions 2025,Playoffs,Lower Round 1,DRX vs G2 Esports,Lotus,4,G2 Esports,Eliminated,Loss
Valorant Champions 2025,Playoffs,Lower Round 1,DRX vs G2 Esports,Lotus,5,G2 Esports,Detonated,Win
Valorant Champions 2025,Playoffs,Lower Round 1,DRX vs G2 Esports,Lotus,5,DRX,Failed Defused,Loss
Valorant Champions 2025,Playoffs,Lower Round 1,DRX vs G2 Esports,Lotus,6,G2 Esports,Elimination,Win
Valorant Champions 2025,Playoffs,Lower Round 1,DRX vs G2 Esports,Lotus,6,DRX,Eliminated,Loss
Valorant Champions 2025,Playoffs,Lower Round 1,DRX vs G2 Esports,Lotus,7,G2 Esports,Detonated,Win
Valorant Champions 2025,Playoffs,Lower Round 1,DRX vs G2 Esports,Lotus,7,DRX,Failed Defused,Loss
Valorant Champions 2025,Playoffs,Lower Round 1,DRX vs G2 Esports,Lotus,8,G2 Esports,Detonated,Win
Valorant Champions 2025,Playoffs,Lower Round 1,DRX vs G2 Esports,Lotus,8,DRX,Failed Defused,Loss
Valorant Champions 2025,Playoffs,Lower Round 1,DRX vs G2 Esports,Lotus,9,G2 Esports,Elimination,Win
Valorant Champions 2025,Playoffs,Lower Round 1,DRX vs G2 Esports,Lotus,9,DRX,Eliminated,Loss
Valorant Champions 2025,Playoffs,Lower Round 1,DRX vs G2 Esports,Lotus,10,DRX,Elimination,Win
Valorant Champions 2025,Playoffs,Lower Round 1,DRX vs G2 Esports,Lotus,10,G2 Esports,Eliminated,Loss
Valorant Champions 2025,Playoffs,Lower Round 1,DRX vs G2 Esports,Lotus,11,G2 Esports,Detonated,Win
Valorant Champions 2025,Playoffs,Lower Round 1,DRX vs G2 Esports,Lotus,11,DRX,Failed Defused,Loss
Valorant Champions 2025,Playoffs,Lower Round 1,DRX vs G2 Esports,Lotus,12,DRX,Elimination,Win
Valorant Champions 2025,Playoffs,Lower Round 1,DRX vs G2 Esports,Lotus,12,G2 Esports,Eliminated,Loss
Valorant Champions 2025,Playoffs,Lower Round 1,DRX vs G2 Esports,Lotus,13,DRX,Elimination,Win
Valorant Champions 2025,Playoffs,Lower Round 1,DRX vs G2 Esports,Lotus,13,G2 Esports,Eliminated,Loss
Valorant Champions 2025,Playoffs,Lower Round 1,DRX vs G2 Esports,Lotus,14,DRX,Elimination,Win
