Tournament,Stage,Match Type,Match Name,Map,Player Team,Player,Enemy Team,Enemy,Player Kills,Enemy Kills,Difference,Kill Type
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Icebox,GIANTX,grubinho,BBL Esports,PROFEK,3,0,3,All Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Icebox,GIANTX,grubinho,BBL Esports,LewN,3,1,2,All Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Icebox,GIANTX,grubinho,BBL Esports,sociablEE,5,4,1,All Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Icebox,GIANTX,Cloud,BBL Esports,Jamppi,2,0,2,All Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Icebox,GIANTX,Cloud,BBL Esports,MAGNUM,4,2,2,All Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Icebox,GIANTX,Cloud,BBL Esports,PROFEK,3,3,0,All Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Icebox,GIANTX,Cloud,BBL Esports,LewN,1,2,-1,All Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Icebox,GIANTX,Cloud,BBL Esports,sociablEE,1,9,-8,All Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Icebox,GIANTX,Flickless,BBL Esports,Jamppi,2,2,0,All Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Icebox,GIANTX,Flickless,BBL Esports,MAGNUM,5,4,1,All Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Icebox,GIANTX,Flickless,BBL Esports,PROFEK,2,1,1,All Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Icebox,GIANTX,Flickless,BBL Esports,LewN,2,3,-1,All Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Icebox,GIANTX,Flickless,BBL Esports,sociablEE,2,4,-2,All Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Icebox,GIANTX,ara,BBL Esports,Jamppi,0,1,-1,First Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Icebox,GIANTX,ara,BBL Esports,MAGNUM,1,0,1,First Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Icebox,GIANTX,ara,BBL Esports,PROFEK,1,0,1,First Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Icebox,GIANTX,ara,BBL Esports,LewN,1,0,1,First Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Icebox,GIANTX,ara,BBL Esports,sociablEE,1,0,1,First Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Icebox,GIANTX,westside,BBL Esports,Jamppi,0,1,-1,First Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Icebox,GIANTX,westside,BBL Esports,MAGNUM,,,,First Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Icebox,GIANTX,westside,BBL Esports,PROFEK,,,,First Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Icebox,GIANTX,westside,BBL Esports,LewN,,,,First Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Icebox,GIANTX,westside,BBL Esports,sociablEE,,,,First Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Icebox,GIANTX,grubinho,BBL Esports,Jamppi,0,1,-1,First Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Icebox,GIANTX,grubinho,BBL Esports,MAGNUM,0,2,-2,First Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Icebox,GIANTX,grubinho,BBL Esports,PROFEK,1,0,1,First Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Icebox,GIANTX,grubinho,BBL Esports,LewN,1,1,0,First Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Icebox,GIANTX,grubinho,BBL Esports,sociablEE,0,1,-1,First Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Icebox,GIANTX,Cloud,BBL Esports,Jamppi,,,,First Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Icebox,GIANTX,Cloud,BBL Esports,MAGNUM,,,,First Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Icebox,GIANTX,Cloud,BBL Esports,PROFEK,1,0,1,First Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Icebox,GIANTX,Cloud,BBL Esports,LewN,1,1,0,First Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Icebox,GIANTX,Cloud,BBL Esports,sociablEE,,,,First Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Icebox,GIANTX,Flickless,BBL Esports,Jamppi,,,,First Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Icebox,GIANTX,Flickless,BBL Esports,MAGNUM,0,2,-2,First Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Icebox,GIANTX,Flickless,BBL Esports,PROFEK,0,1,-1,First Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Icebox,GIANTX,Flickless,BBL Esports,LewN,1,0,1,First Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Icebox,GIANTX,Flickless,BBL Esports,sociablEE,,,,First Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Icebox,GIANTX,ara,BBL Esports,Jamppi,,,,Op Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Icebox,GIANTX,ara,BBL Esports,MAGNUM,,,,Op Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Icebox,GIANTX,ara,BBL Esports,PROFEK,2,0,2,Op Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Icebox,GIANTX,ara,BBL Esports,LewN,1,0,1,Op Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Icebox,GIANTX,ara,BBL Esports,sociablEE,2,0,2,Op Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Icebox,GIANTX,westside,BBL Esports,Jamppi,,,,Op Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Icebox,GIANTX,westside,BBL Esports,MAGNUM,,,,Op Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Icebox,GIANTX,westside,BBL Esports,PROFEK,,,,Op Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Icebox,GIANTX,westside,BBL Esports,LewN,,,,Op Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Icebox,GIANTX,westside,BBL Esports,sociablEE,,,,Op Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Icebox,GIANTX,grubinho,BBL Esports,Jamppi,,,,Op Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Icebox,GIANTX,grubinho,BBL Esports,MAGNUM,,,,Op Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Icebox,GIANTX,grubinho,BBL Esports,PROFEK,,,,Op Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Icebox,GIANTX,grubinho,BBL Esports,LewN,,,,Op Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Icebox,GIANTX,grubinho,BBL Esports,sociablEE,,,,Op Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Icebox,GIANTX,Cloud,BBL Esports,Jamppi,,,,Op Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Icebox,GIANTX,Cloud,BBL Esports,MAGNUM,,,,Op Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Icebox,GIANTX,Cloud,BBL Esports,PROFEK,,,,Op Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Icebox,GIANTX,Cloud,BBL Esports,LewN,,,,Op Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Icebox,GIANTX,Cloud,BBL Esports,sociablEE,,,,Op Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Icebox,GIANTX,Flickless,BBL Esports,Jamppi,,,,Op Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Icebox,GIANTX,Flickless,BBL Esports,MAGNUM,,,,Op Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Icebox,GIANTX,Flickless,BBL Esports,PROFEK,,,,Op Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Icebox,GIANTX,Flickless,BBL Esports,LewN,,,,Op Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Icebox,GIANTX,Flickless,BBL Esports,sociablEE,,,,Op Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,ara,BBL Esports,Jamppi,8,2,6,All Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,ara,BBL Esports,MAGNUM,6,2,4,All Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,ara,BBL Esports,PROFEK,5,6,-1,All Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,ara,BBL Esports,LewN,6,3,3,All Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,ara,BBL Esports,sociablEE,6,2,4,All Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,westside,BBL Esports,Jamppi,0,3,-3,All Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,westside,BBL Esports,MAGNUM,3,4,-1,All Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,westside,BBL Esports,PROFEK,4,6,-2,All Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,westside,BBL Esports,LewN,2,5,-3,All Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,westside,BBL Esports,sociablEE,3,2,1,All Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,grubinho,BBL Esports,Jamppi,3,1,2,All Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,grubinho,BBL Esports,MAGNUM,0,5,-5,All Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,grubinho,BBL Esports,PROFEK,2,3,-1,All Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,grubinho,BBL Esports,LewN,2,5,-3,All Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,grubinho,BBL Esports,sociablEE,3,3,0,All Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,Cloud,BBL Esports,Jamppi,4,3,1,All Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,Cloud,BBL Esports,MAGNUM,5,2,3,All Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,Cloud,BBL Esports,PROFEK,3,2,1,All Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,Cloud,BBL Esports,LewN,3,4,-1,All Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,Cloud,BBL Esports,sociablEE,1,7,-6,All Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,Flickless,BBL Esports,Jamppi,2,1,1,All Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,Flickless,BBL Esports,MAGNUM,5,6,-1,All Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,Flickless,BBL Esports,PROFEK,1,1,0,All Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,Flickless,BBL Esports,LewN,3,9,-6,All Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,Flickless,BBL Esports,sociablEE,4,2,2,All Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,ara,BBL Esports,Jamppi,,,,First Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,ara,BBL Esports,MAGNUM,,,,First Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,ara,BBL Esports,PROFEK,1,0,1,First Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,ara,BBL Esports,LewN,1,0,1,First Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,ara,BBL Esports,sociablEE,1,1,0,First Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,westside,BBL Esports,Jamppi,0,1,-1,First Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,westside,BBL Esports,MAGNUM,2,0,2,First Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,westside,BBL Esports,PROFEK,,,,First Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,westside,BBL Esports,LewN,1,1,0,First Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,westside,BBL Esports,sociablEE,2,1,1,First Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,grubinho,BBL Esports,Jamppi,,,,First Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,grubinho,BBL Esports,MAGNUM,,,,First Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,grubinho,BBL Esports,PROFEK,0,1,-1,First Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,grubinho,BBL Esports,LewN,0,2,-2,First Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,grubinho,BBL Esports,sociablEE,0,1,-1,First Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,Cloud,BBL Esports,Jamppi,2,0,2,First Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,Cloud,BBL Esports,MAGNUM,,,,First Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,Cloud,BBL Esports,PROFEK,,,,First Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,Cloud,BBL Esports,LewN,,,,First Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,Cloud,BBL Esports,sociablEE,0,1,-1,First Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,Flickless,BBL Esports,Jamppi,,,,First Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,Flickless,BBL Esports,MAGNUM,1,0,1,First Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,Flickless,BBL Esports,PROFEK,0,1,-1,First Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,Flickless,BBL Esports,LewN,1,1,0,First Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,Flickless,BBL Esports,sociablEE,0,1,-1,First Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,ara,BBL Esports,Jamppi,,,,Op Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,ara,BBL Esports,MAGNUM,,,,Op Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,ara,BBL Esports,PROFEK,,,,Op Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,ara,BBL Esports,LewN,1,0,1,Op Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,ara,BBL Esports,sociablEE,1,0,1,Op Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,westside,BBL Esports,Jamppi,,,,Op Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,westside,BBL Esports,MAGNUM,,,,Op Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,westside,BBL Esports,PROFEK,,,,Op Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,westside,BBL Esports,LewN,,,,Op Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,westside,BBL Esports,sociablEE,0,2,-2,Op Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,grubinho,BBL Esports,Jamppi,,,,Op Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,grubinho,BBL Esports,MAGNUM,,,,Op Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,grubinho,BBL Esports,PROFEK,,,,Op Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,grubinho,BBL Esports,LewN,,,,Op Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,grubinho,BBL Esports,sociablEE,0,1,-1,Op Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,Cloud,BBL Esports,Jamppi,,,,Op Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,Cloud,BBL Esports,MAGNUM,,,,Op Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,Cloud,BBL Esports,PROFEK,,,,Op Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,Cloud,BBL Esports,LewN,,,,Op Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,Cloud,BBL Esports,sociablEE,0,1,-1,Op Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,Flickless,BBL Esports,Jamppi,,,,Op Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,Flickless,BBL Esports,MAGNUM,,,,Op Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,Flickless,BBL Esports,PROFEK,,,,Op Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,Flickless,BBL Esports,LewN,,,,Op Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Lotus,GIANTX,Flickless,BBL Esports,sociablEE,,,,Op Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Corrode,GIANTX,ara,BBL Esports,Jamppi,4,2,2,All Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Corrode,GIANTX,ara,BBL Esports,MAGNUM,3,3,0,All Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Corrode,GIANTX,ara,BBL Esports,PROFEK,4,3,1,All Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Corrode,GIANTX,ara,BBL Esports,LewN,3,3,0,All Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Corrode,GIANTX,ara,BBL Esports,sociablEE,3,6,-3,All Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Corrode,GIANTX,westside,BBL Esports,Jamppi,1,3,-2,All Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Corrode,GIANTX,westside,BBL Esports,MAGNUM,4,4,0,All Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Corrode,GIANTX,westside,BBL Esports,PROFEK,5,2,3,All Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Corrode,GIANTX,westside,BBL Esports,LewN,4,3,1,All Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Corrode,GIANTX,westside,BBL Esports,sociablEE,5,3,2,All Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Corrode,GIANTX,grubinho,BBL Esports,Jamppi,3,2,1,All Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Corrode,GIANTX,grubinho,BBL Esports,MAGNUM,4,2,2,All Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Corrode,GIANTX,grubinho,BBL Esports,PROFEK,4,2,2,All Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Corrode,GIANTX,grubinho,BBL Esports,LewN,3,5,-2,All Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Corrode,GIANTX,grubinho,BBL Esports,sociablEE,3,5,-2,All Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Corrode,GIANTX,Cloud,BBL Esports,Jamppi,4,3,1,All Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Corrode,GIANTX,Cloud,BBL Esports,MAGNUM,3,3,0,All Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Corrode,GIANTX,Cloud,BBL Esports,PROFEK,2,3,-1,All Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Corrode,GIANTX,Cloud,BBL Esports,LewN,2,3,-1,All Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Corrode,GIANTX,Cloud,BBL Esports,sociablEE,4,3,1,All Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Corrode,GIANTX,Flickless,BBL Esports,Jamppi,5,5,0,All Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Corrode,GIANTX,Flickless,BBL Esports,MAGNUM,3,4,-1,All Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Corrode,GIANTX,Flickless,BBL Esports,PROFEK,3,0,3,All Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Corrode,GIANTX,Flickless,BBL Esports,LewN,5,6,-1,All Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Corrode,GIANTX,Flickless,BBL Esports,sociablEE,1,4,-3,All Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Corrode,GIANTX,ara,BBL Esports,Jamppi,,,,First Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Corrode,GIANTX,ara,BBL Esports,MAGNUM,2,1,1,First Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Corrode,GIANTX,ara,BBL Esports,PROFEK,1,1,0,First Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Corrode,GIANTX,ara,BBL Esports,LewN,3,1,2,First Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Corrode,GIANTX,ara,BBL Esports,sociablEE,0,1,-1,First Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Corrode,GIANTX,westside,BBL Esports,Jamppi,0,1,-1,First Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Corrode,GIANTX,westside,BBL Esports,MAGNUM,,,,First Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Corrode,GIANTX,westside,BBL Esports,PROFEK,,,,First Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Corrode,GIANTX,westside,BBL Esports,LewN,,,,First Kills
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Corrode,GIANTX,westside,BBL Esports,sociablEE,,,,First Kills
