Tournament,Stage,Match Type,Match Name,Map,Player Team,Player,Enemy Team,Enemy,Player Kills,Enemy Kills,Difference,Kill Type
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,d4v41,Xi Lai Gaming,happywei,2,0,2,First Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,d4v41,Xi Lai Gaming,Viva,,,,First Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,d4v41,Xi Lai Gaming,coconut,0,2,-2,First Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,d4v41,Xi Lai Gaming,Rarga,,,,First Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,something,Xi Lai Gaming,NoMan,2,0,2,First Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,something,Xi Lai Gaming,happywei,2,0,2,First Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,something,Xi Lai Gaming,Viva,1,0,1,First Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,something,Xi Lai Gaming,coconut,,,,First Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,something,Xi Lai Gaming,Rarga,1,1,0,First Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,f0rsakeN,Xi Lai Gaming,NoMan,1,2,-1,First Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,f0rsakeN,Xi Lai Gaming,happywei,3,1,2,First Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,f0rsakeN,Xi Lai Gaming,Viva,,,,First Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,f0rsakeN,Xi Lai Gaming,coconut,1,2,-1,First Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,f0rsakeN,Xi Lai Gaming,Rarga,1,2,-1,First Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,Jinggg,Xi Lai Gaming,NoMan,1,2,-1,First Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,Jinggg,Xi Lai Gaming,happywei,1,2,-1,First Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,Jinggg,Xi Lai Gaming,Viva,2,0,2,First Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,Jinggg,Xi Lai Gaming,coconut,2,0,2,First Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,Jinggg,Xi Lai Gaming,Rarga,0,1,-1,First Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,PatMen,Xi Lai Gaming,NoMan,,,,Op Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,PatMen,Xi Lai Gaming,happywei,,,,Op Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,PatMen,Xi Lai Gaming,Viva,,,,Op Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,PatMen,Xi Lai Gaming,coconut,,,,Op Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,PatMen,Xi Lai Gaming,Rarga,,,,Op Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,d4v41,Xi Lai Gaming,NoMan,,,,Op Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,d4v41,Xi Lai Gaming,happywei,,,,Op Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,d4v41,Xi Lai Gaming,Viva,,,,Op Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,d4v41,Xi Lai Gaming,coconut,,,,Op Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,d4v41,Xi Lai Gaming,Rarga,,,,Op Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,something,Xi Lai Gaming,NoMan,2,0,2,Op Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,something,Xi Lai Gaming,happywei,2,0,2,Op Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,something,Xi Lai Gaming,Viva,2,0,2,Op Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,something,Xi Lai Gaming,coconut,2,0,2,Op Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,something,Xi Lai Gaming,Rarga,1,0,1,Op Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,f0rsakeN,Xi Lai Gaming,NoMan,,,,Op Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,f0rsakeN,Xi Lai Gaming,happywei,,,,Op Kills
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,f0rsakeN,Xi Lai Gaming,Viva,,,,Op Kills
